Land;Stimmentyp;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE_LINKE;GRÜNE;CSU;Sonstige;dar_FREIE_WAEHLER;dar_BSW
HB;Zweitstimme;w;1981 – 1990;24214;87;3816;3462;4039;629;4886;4494;;2801;156;1818
HB;Zweitstimme;w;1966 – 1980;39510;237;8187;8576;6293;1131;4478;7496;;3113;200;1922
HB;Zweitstimme;w;1956 – 1965;35271;235;7222;9808;5024;1235;3251;6432;;2064;237;1314
HB;Zweitstimme;w;1955 und früher;47143;664;14220;17883;3181;1707;2258;5602;;1628;194;978
NW;Erststimme;Summe;Summe;10587740;97311;3566853;2633792;1720896;349157;714177;1230253;;275301;113892;6515
NW;Erststimme;Summe;2001 – 2007;753911;4502;139089;182922;108039;35376;154891;103076;;26015;6941;960
NW;Erststimme;Summe;1991 – 2000;1419157;9311;292412;298389;254482;63445;193602;245916;;61599;20057;1369
NW;Erststimme;Summe;1981 – 1990;1525636;12767;436091;294056;342064;55926;113238;212679;;58815;23896;1200
NW;Erststimme;Summe;1966 – 1980;2526524;20066;881791;548405;509859;77321;130251;289054;;69776;32789;1482
NW;Erststimme;Summe;1956 – 1965;2074321;20851;741228;582834;334759;52548;75277;227793;;39031;20411;924
NW;Erststimme;Summe;1955 und früher;2288191;29814;1076242;727185;171693;64540;46918;151735;;20064;9798;580
NW;Erststimme;m;Summe;5142343;44449;1771239;1181659;1015699;178253;299103;514890;;137050;55338;2550
NW;Erststimme;m;2001 – 2007;373924;2280;83901;81158;74072;23327;52788;41725;;14675;4010;252
NW;Erststimme;m;1991 – 2000;708236;4581;159953;136266;155136;35827;78981;105618;;31873;10897;530
NW;Erststimme;m;1981 – 1990;765105;6277;220537;131650;202526;29307;52067;92487;;30254;11496;489
NW;Erststimme;m;1966 – 1980;1253329;9051;452862;246924;299075;36726;54578;121405;;32709;15113;561
NW;Erststimme;m;1956 – 1965;1024738;10027;375655;273162;191849;24412;37286;93749;;18598;9747;395
NW;Erststimme;m;1955 und früher;1017011;12234;478331;312499;93042;28654;23404;59906;;8941;4074;323
NW;Erststimme;w;Summe;5445397;52862;1795614;1452133;705197;170904;415074;715363;;138251;58554;3965
NW;Erststimme;w;2001 – 2007;379987;2222;55189;101764;33968;12050;102103;61352;;11340;2931;708
NW;Erststimme;w;1991 – 2000;710921;4730;132459;162123;99346;27618;114621;140297;;29727;9159;839
NW;Erststimme;w;1981 – 1990;760531;6490;215554;162406;139538;26619;61171;120192;;28561;12400;712
NW;Erststimme;w;1966 – 1980;1273195;11015;428929;301482;210784;40595;75673;167649;;37067;17676;921
NW;Erststimme;w;1956 – 1965;1049584;10825;365572;309672;142910;28137;37991;134044;;20433;10664;529
NW;Erststimme;w;1955 und früher;1271180;17580;597911;414686;78651;35885;23515;91828;;11123;5724;256
NW;Zweitstimme;Summe;Summe;10587740;61606;3170627;2108434;1770379;462446;877123;1300901;;836224;52891;432911
NW;Zweitstimme;Summe;2001 – 2007;753911;2143;101349;100256;113318;42939;212946;92159;;88802;3322;44554
NW;Zweitstimme;Summe;1991 – 2000;1419157;4700;224855;180883;262148;74183;259009;227724;;185653;10189;83509
NW;Zweitstimme;Summe;1981 – 1990;1525636;6238;363861;204980;354139;68525;127906;224503;;175484;11588;84659
NW;Zweitstimme;Summe;1966 – 1980;2526524;11456;781088;433517;525612;105496;138272;327005;;204078;15390;110443
NW;Zweitstimme;Summe;1956 – 1965;2074321;13243;685203;510819;338944;73575;83521;255981;;113034;8332;67666
NW;Zweitstimme;Summe;1955 und früher;2288191;23826;1014270;677978;176217;97728;55469;173530;;69173;4070;42079
NW;Zweitstimme;m;Summe;5142343;25186;1577365;939353;1061958;254202;355256;567432;;361591;24547;189908
NW;Zweitstimme;m;2001 – 2007;373924;1235;61659;50018;77920;28812;67172;41296;;45812;2171;22075
NW;Zweitstimme;m;1991 – 2000;708236;2320;124665;83271;163692;45067;101507;103844;;83870;5013;37093
NW;Zweitstimme;m;1981 – 1990;765105;2893;186462;89277;213814;39288;56190;102206;;74975;4908;36517
NW;Zweitstimme;m;1966 – 1980;1253329;4025;405255;193703;311989;55174;57780;141634;;83769;6879;46576
NW;Zweitstimme;m;1956 – 1965;1024738;5893;348800;235208;198614;39297;43298;108679;;44949;4214;27728
NW;Zweitstimme;m;1955 und früher;1017011;8822;450524;287875;95928;46563;29310;69773;;28216;1363;19918
NW;Zweitstimme;w;Summe;5445397;36420;1593262;1169081;708421;208244;521867;733469;;474633;28344;243003
NW;Zweitstimme;w;2001 – 2007;379987;908;39690;50238;35398;14126;145774;50862;;42990;1151;22479
NW;Zweitstimme;w;1991 – 2000;710921;2381;100190;97612;98457;29116;157502;123880;;101783;5176;46416
NW;Zweitstimme;w;1981 – 1990;760531;3345;177399;115703;140325;29237;71716;122297;;100509;6680;48143
NW;Zweitstimme;w;1966 – 1980;1273195;7431;375833;239814;213622;50322;80493;185371;;120308;8511;63866
NW;Zweitstimme;w;1956 – 1965;1049584;7350;336404;275611;140330;34278;40223;147302;;68086;4118;39938
NW;Zweitstimme;w;1955 und früher;1271180;15004;563746;390102;80289;51165;26159;103756;;40957;2707;22161
